13986
FBgn0038542	TyrR	protein_coding
FBgn0039592	CG14062	protein_coding
FBgn0038067	CG11598	protein_coding
FBgn0039602	CG1647	protein_coding
FBgn0264897	CG44088	protein_coding
FBgn0038565	CG7794	protein_coding
FBgn0039331	ND-49L	protein_coding
FBgn0019972	Drice	protein_coding
FBgn0046873	Pif2	protein_coding
FBgn0038756	CG4783	protein_coding
FBgn0039627	CG11837	protein_coding
FBgn0039436	TwdlB	protein_coding
FBgn0051092	LpR2	protein_coding
FBgn0039089	beat-IV	protein_coding
FBgn0064119	CG33934	protein_coding
FBgn0250820	meigo	protein_coding
FBgn0284229	CG46313	protein_coding
FBgn0038886	Ugt49B2	protein_coding
FBgn0038243	CG8066	protein_coding
FBgn0283468	slmb	protein_coding
FBgn0038598	CG7131	protein_coding
FBgn0038407	CG6126	protein_coding
FBgn0038627	CG7694	protein_coding
FBgn0027654	jdp	protein_coding
FBgn0037236	Skp2	protein_coding
FBgn0003890	betaTub97EF	protein_coding
FBgn0000463	Dl	protein_coding
FBgn0039761	CG18404	protein_coding
FBgn0051415	CG31415	protein_coding
FBgn0037970	GC2	protein_coding
FBgn0051463	CG31463	protein_coding
FBgn0051077	CG31077	protein_coding
FBgn0037723	SpdS	protein_coding
FBgn0028374	Hug	protein_coding
FBgn0004622	TkR99D	protein_coding
FBgn0053207	pxb	protein_coding
FBgn0038890	sp3	protein_coding
FBgn0010770	ppan	protein_coding
FBgn0046763	peg	protein_coding
FBgn0038465	Irc	protein_coding
FBgn0038402	Fer2	protein_coding
FBgn0261108	Atg13	protein_coding
FBgn0039087	Ugt303B2	protein_coding
FBgn0262605	CG43131	protein_coding
FBgn0263040	CG43335	protein_coding
FBgn0020907	Scp2	protein_coding
FBgn0038903	Polr1H	protein_coding
FBgn0037472	CG10098	protein_coding
FBgn0263977	Tim17b	protein_coding
FBgn0261060	Sfp93F	protein_coding
FBgn0015568	alpha-Est1	protein_coding
FBgn0011270	Pglym87	protein_coding
FBgn0051116	ClC-a	protein_coding
FBgn0262577	CG43117	protein_coding
FBgn0039030	CG6660	protein_coding
FBgn0053105	p24-2	protein_coding
FBgn0037516	CG11286	protein_coding
FBgn0051265	CG31265	protein_coding
FBgn0051163	SKIP	protein_coding
FBgn0039189	CG18528	protein_coding
FBgn0039858	CycG	protein_coding
FBgn0261561	CG42675	protein_coding
FBgn0002905	PolQ	protein_coding
FBgn0003676	CCT1	protein_coding
FBgn0040629	CAH5	protein_coding
FBgn0038246	CG14853	protein_coding
FBgn0043005	prt	protein_coding
FBgn0038815	CG5466	protein_coding
FBgn0015569	alpha-Est10	protein_coding
FBgn0038960	CG13855	protein_coding
FBgn0067317	Cby	protein_coding
FBgn0039544	CG12877	protein_coding
FBgn0038356	CG12784	protein_coding
FBgn0051437	CG31437	protein_coding
FBgn0028400	Syt4	protein_coding
FBgn0039233	CG7006	protein_coding
FBgn0288631	Yif1	protein_coding
